question_id,subject,question,focus,type,answer
Q37,,My father is having cardiomyopathy through genes. He is 83 now. He was absoulutely normal till now. recently he is getting breathlessness. and he was admitted to the hospital twice. The doctors are telling that multi dieases are attacking his heart. I just want to know exactly what is happening and what precautions that he should take in future. What are the chances of survival? Please help. ,cardiomyopathy,treatment,"When possible, the cause of cardiomyopathy is treated. Medicines and lifestyle changes are often needed to treat the symptoms of heart failure, angina, and abnormal heart rhythms.  Procedures or surgeries may also be used, including:  - A defibrillator that sends an electrical pulse to stop life-threatening abnormal heart rhythms  - A pacemaker that treats a slow heart rate or helps both sides of the heart beat at the same time  - Coronary artery bypass (CABG) surgery or angioplasty that may improve blood flow to the damaged or weakened heart muscle  - Heart transplant that may be tried when all other treatments have failed    Recently, implantable artificial heart pumps have been developed. These may be used for very severe cases. However, not all patients need or are able to have this advanced treatment."
Q37,,My father is having cardiomyopathy through genes. He is 83 now. He was absoulutely normal till now. recently he is getting breathlessness. and he was admitted to the hospital twice. The doctors are telling that multi dieases are attacking his heart. I just want to know exactly what is happening and what precautions that he should take in future. What are the chances of survival? Please help. ,cardiomyopathy,treatment,"People who have cardiomyopathy but no signs or symptoms may not need treatment. Sometimes, dilated cardiomyopathy that comes on suddenly may go away on its own. For other people who have cardiomyopathy, treatment is needed. Treatment depends on the type of cardiomyopathy you have, the severity of your symptoms and complications, and your age and overall health. Treatments may include:                  Heart-healthy lifestyle changes                  Medicines                  Nonsurgical procedure                  Surgery and implanted devices                  The main goals of treating cardiomyopathy include:                  Controlling signs and symptoms so that you can live as normally as possible                  Managing any conditions that cause or contribute to the disease                  Reducing complications and the risk of sudden cardiac arrest                  Stopping the disease from getting worse                  Heart-Healthy Lifestyle Changes                  Your doctor may suggest lifestyle changes to manage a condition that’s causing your cardiomyopathy including:                  Heart-healthy eating                  Maintaining a healthy weight                  Managing stress                  Physical activity                  Quitting smoking                  Heart-Healthy Eating                  Your doctor may recommend heart-healthy eating, which should include:                  Fat-free or low-fat dairy products, such as fat-free milk                  Fish high in omega-3 fatty acids, such as salmon, tuna, and trout, about twice a week                  Fruits, such as apples, bananas, oranges, pears, and prunes                  Legumes, such as kidney beans, lentils, chickpeas, black-eyed peas, and lima beans                  Vegetables, such as broccoli, cabbage, and carrots                  Whole grains, such as oatmeal, brown rice, and corn tortillas                  When following a heart-healthy diet, you should avoid eating:                  A lot of red meat                  Palm and coconut oils                  Sugary foods and beverages                  Two nutrients in your diet make blood cholesterol levels rise:                  Saturated fat—found mostly in foods that come from animals                  Trans fat (trans fatty acids)—found in foods made with hydrogenated oils and fats such as stick margarine; baked goods such as, cookies, cakes, and pies, crackers, frostings, and coffee creamers. Some trans fats also occur naturally in animal fats and meats.                  Saturated fat raises your blood cholesterol more than anything else in your diet. When you follow a heart-healthy eating plan, only 5 percent to 6 percent of your daily calories should come from saturated fat. Food labels list the amounts of saturated fat. To help you stay on track, here are some examples:                  Not all fats are bad. Monounsaturated and polyunsaturated fats actually help lower blood cholesterol levels.                  Some sources of monounsaturated and polyunsaturated fats are:                  Avocados                  Corn, sunflower, and soybean oils                  Nuts and seeds, such as walnuts                  Olive, canola, peanut, safflower, and sesame oils                  Peanut butter                  Salmon and trout                  Tofu                  Sodium                  Try to limit the amount of sodium that you eat. This means choosing and preparing foods that are lower in salt and sodium. Try to use low-sodium and “no added salt” foods and seasonings at the table or while cooking. Food labels tell you what you need to know about choosing foods that are lower in sodium. Try to eat no more than 2,300 milligrams of sodium a day. If you have high blood pressure, you may need to restrict your sodium intake even more.                  Dietary Approaches to Stop Hypertension                  Your doctor may recommend the Dietary Approaches to Stop Hypertension (DASH) eating plan if you have high blood pressure. The DASH eating plan focuses on fruits, vegetables, whole grains, and other foods that are heart healthy and low in fat, cholesterol, and sodium and salt.                  The DASH eating plan is a good heart-healthy eating plan, even for those who don’t have high blood pressure. Read more about DASH.                  Alcohol                  Talk to your doctor about how much alcohol you drink. Too much alcohol can raise your blood pressure and triglyceride levels, a type of fat found in the blood. Alcohol also adds extra calories, which may cause weight gain. Your doctor may recommend that you reduce the amount of alcohol you drink or stop drinking alcohol.                                    Maintaining a Healthy Weight                  Maintaining a healthy weight is important for overall health and can lower your risk for coronary heart disease. Aim for a Healthy Weight by following a heart-healthy eating plan and keeping physically active.                  Knowing your body mass index (BMI) helps you find out if you’re a healthy weight in relation to your height and gives an estimate of your total body fat. To figure out your BMI, check out the National Heart, Lung, and Blood Institute’s (NHLBI) online BMI calculator or talk to your doctor. A BMI:                  Below 18.5 is a sign that you are underweight.                  Between 18.5 and 24.9 is in the normal range.                  Between 25 and 29.9 is considered overweight.                  Of 30 or more is considered obese.                  A general goal to aim for is a BMI of less than 25. Your doctor or health care provider can help you set an appropriate BMI goal.                  Measuring waist circumference helps screen for possible health risks. If most of your fat is around your waist rather than at your hips, you’re at a higher risk for heart disease and type 2 diabetes. This risk may be high with a waist size that is greater than 35 inches for women or greater than 40 inches for men. To learn how to measure your waist, visit Assessing Your Weight and Health Risk.                  If you’re overweight or obese, try to lose weight. A loss of just 3 percent to 5 percent of your current weight can lower your triglycerides, blood glucose, and the risk of developing type 2 diabetes. Greater amounts of weight loss can improve blood pressure readings, lower LDL cholesterol, and increase HDL cholesterol.                                     Managing Stress                  Research shows that the most commonly reported “trigger” for a heart attack is an emotionally upsetting event—particularly one involving anger. Also, some of the ways people cope with stress—such as drinking, smoking, or overeating—aren’t healthy.                  Learning how to manage stress, relax, and cope with problems can improve your emotional and physical health. Consider healthy stress-reducing activities, such as:                  A stress management program                  Meditation                  Physical activity                  Relaxation therapy                  Talking things out with friends or family                                     Physical Activity                  Routine physical activity can lower many risk factors for coronary heart disease, including LDL (“bad”) cholesterol, high blood pressure, and excess weight. Physical activity also can lower your risk for diabetes and raise your HDL cholesterol level. HDL is the “good” cholesterol that helps prevent coronary heart disease.                  Everyone should try to participate in moderate intensity aerobic exercise at least 2 hours and 30 minutes per week, or vigorous intensity aerobic exercise for 1 hour and 15 minutes per week. Aerobic exercise, such as brisk walking, is any exercise in which your heart beats faster and you use more oxygen than usual. The more active you are, the more you will benefit. Participate in aerobic exercise for at least 10 minutes at a time spread throughout the week.                  Read more about physical activity at:                  Physical Activity and Your Heart                  U.S. Department of Health and Human Services’ 2008 Physical Activity Guidelines for Americans                  Talk with your doctor before you start a new exercise plan. Ask your doctor how much and what kinds of physical activity are safe for you.                                    Quitting Smoking                  If you smoke, quit. Smoking can raise your risk for coronary heart disease and heart attack and worsen other coronary heart disease risk factors. Talk with your doctor about programs and products that can help you quit smoking. Also, try to avoid secondhand smoke.                  If you have trouble quitting smoking on your own, consider joining a support group. Many hospitals, workplaces, and community groups offer classes to help people quit smoking.                  Read more about quitting smoking at Smoking and Your Heart.                                     Medicines                  Many medicines are used to treat cardiomyopathy. Your doctor may prescribe medicines to:                  Balance electrolytes in your body. Electrolytes are minerals that help maintain fluid levels and acid-base balance in the body. They also help muscle and nerve tissues work properly. Abnormal electrolyte levels may be a sign of dehydration (lack of fluid in your body), heart failure, high blood pressure, or other disorders. Aldosterone blockers are an example of a medicine used to balance electrolytes.                  Keep your heart beating with a normal rhythm. These medicines, called antiarrhythmics, help prevent arrhythmias.                  Lower your blood pressure. ACE inhibitors, angiotensin II receptor blockers, beta blockers, and calcium channel blockers are examples of medicines that lower blood pressure.                  Prevent blood clots from forming. Anticoagulants, or blood thinners, are an example of a medicine that prevents blood clots. Blood thinners often are used to prevent blood clots from forming in people who have dilated cardiomyopathy.                  Reduce inflammation. Corticosteroids are an example of a medicine used to reduce inflammation.                   Remove excess sodium from your body. Diuretics, or water pills, are an example of medicines that help remove excess sodium from the body, which reduces the amount of fluid in your blood.                  Slow your heart rate. Beta blockers, calcium channel blockers, and digoxin are examples of medicines that slow the heart rate. Beta blockers and calcium channel blockers also are used to lower blood pressure.                  Take all medicines regularly, as your doctor prescribes. Don’t change the amount of your medicine or skip a dose unless your doctor tells you to.                  ​Surgery and Implanted Devices                  Doctors use several types of surgery to treat cardiomyopathy, including septal myectomy, surgically implanted devices, and heart transplant.                  Septal Myectomy                  Septal myectomy is open-heart surgery and is used to treat people who have hypertrophic cardiomyopathy and severe symptoms. This surgery generally is used for younger patients and for people whose medicines aren’t working well.                  A surgeon removes part of the thickened septum that’s bulging into the left ventricle. This improves blood flow through the heart and out to the body. The removed tissue doesn’t grow back. If needed, the surgeon also can repair or replace the mitral valve at the same time. Septal myectomy often is successful and allows you to return to a normal life with no symptoms.                  Surgically Implanted Devices                  Surgeons can place several types of devices in the heart to improve function and symptoms, including:                  Cardiac resynchronization therapy (CRT) device. A CRT device coordinates contractions between the heart’s left and right ventricles.                  Implantable cardioverter defibrillator (ICD). An ICD helps control life-threatening arrhythmias that may lead to sudden cardiac arrest. This small device is implanted in the chest or abdomen and connected to the heart with wires. If an ICD senses a dangerous change in heart rhythm, it will send an electric shock to the heart to restore a normal heartbeat.                  Left ventricular assist device (LVAD). This device helps the heart pump blood to the body. An LVAD can be used as a long-term therapy or as a short-term treatment for people who are waiting for a heart transplant.                  Pacemaker. This small device is placed under the skin of your chest or abdomen to help control arrhythmias. The device uses electrical pulses to prompt the heart to beat at a normal rate.                  Heart Transplant                  For this surgery, a surgeon replaces a person’s diseased heart with a healthy heart from a deceased donor. A heart transplant is a last resort treatment for people who have end-stage heart failure. “End-stage” means the condition has become so severe that all treatments, other than heart transplant, have failed. For more information about this treatment, go to the Heart Transplant Health Topic.                  Nonsurgical Procedure                  Doctors may use a nonsurgical procedure called alcohol septal ablation to treat cardiomyopathy. During this procedure, the doctor injects ethanol (a type of alcohol) through a tube into the small artery that supplies blood to the thickened area of heart muscle. The alcohol kills cells, and the thickened tissue shrinks to a more normal size. This procedure allows blood to flow freely through the ventricle, which improves symptoms."
Q37,,My father is having cardiomyopathy through genes. He is 83 now. He was absoulutely normal till now. recently he is getting breathlessness. and he was admitted to the hospital twice. The doctors are telling that multi dieases are attacking his heart. I just want to know exactly what is happening and what precautions that he should take in future. What are the chances of survival? Please help. ,cardiomyopathy,prognosis,"The outlook depends on many different things, including:  - Cause and type of cardiomyopathy  - How well the condition responds to treatment  - The severity of the heart problem    Heart failure is usually a long-term (chronic) illness. It may get worse over time. Some people develop severe heart failure. In this case, medicines, surgery, and other treatments may no longer help.  Patients with certain types of cardiomyopathy are at risk for dangerous heart rhythm problems."
Q38,Questions on albinism,"Hello my name is [NAME] and I'm hoping you can help me. When i was born my doctor diagnosed me with albinism. I have color in my hair (brown) and in my eyes (hazel) they do not shake. My skin is fair but my markings are visible. It is not one solid fair white on all of me. I apparently have 3 different levels. most of my body is covered by level 1 pigmentation (the fairest) i have level 2 on some as well and a small patch of my arm of level (3) it basically looks like a huge birthmark that goes from my right side of the body to the left.  When I was born the doctors still didn't know much about Albinism and I""m hoping to learn more myself. For instance what type this would fall under... I hope you can help.",albinism,information,"Albinism is a defect of melanin production that results in little or no color (pigment) in the skin, hair, and eyes."
Q38,Questions on albinism,"Hello my name is [NAME] and I'm hoping you can help me. When i was born my doctor diagnosed me with albinism. I have color in my hair (brown) and in my eyes (hazel) they do not shake. My skin is fair but my markings are visible. It is not one solid fair white on all of me. I apparently have 3 different levels. most of my body is covered by level 1 pigmentation (the fairest) i have level 2 on some as well and a small patch of my arm of level (3) it basically looks like a huge birthmark that goes from my right side of the body to the left.  When I was born the doctors still didn't know much about Albinism and I""m hoping to learn more myself. For instance what type this would fall under... I hope you can help.",albinism,information,"Albinism is a group of inherited disorders that results in little or no production of the pigment melanin, which determines the color of the skin, hair and eyes. Melanin also plays a role in the development of certain optical nerves, so all forms of albinism cause problems with the development and function of the eyes. Other symptoms can include light skin or changes in skin color; very white to brown hair; very light blue to brown eye color that may appear red in some light and may change with age; sensitivity to sun exposure; and increased risk of developing skin cancer. Albinism is caused by mutations in one of several genes, and most types are inherited in an autosomal recessive manner. Although there's no cure, people with the disorder can take steps to improve vision and avoid too much sun exposure."
Q39,typhoid fever,"Hi, My name is [NAME] from india i have suffering from typhoid please give me solution  i have one question i had got treatment from one year but i am not well now give me solution?",typhoid,treatment,"Fluids and electrolytes may be given by IV (into a vein) or you may be asked to drink water with electrolyte packets.  Antibiotics are given to kill the bacteria. There are increasing rates of antibiotic resistance throughout the world, so your health care provider will check current recommendations before choosing an antibiotic."
Q40,,"GERD.  I'm a 72 year old female, and have diverticulosis,gastritis, and esophagitis.  I tried to see three different doctors today, but all were booked.  I honestly don't know what to do.  It hurts in my chest, and I can hardly talk. ",gerd,treatment,"You can make many lifestyle changes to help treat your symptoms.  Other tips include:  - If you are overweight or obese, in many cases, losing weight can help.  - Avoid drugs such as aspirin, ibuprofen (Advil, Motrin), or naproxen (Aleve, Naprosyn). Take acetaminophen (Tylenol) to relieve pain.  - Take all of your medicines with plenty of water. When your doctor gives you a new medicine, ask whether it will make your heartburn worse.    You may use over-the-counter antacids after meals and at bedtime, although the relief may not last very long. Common side effects of antacids include diarrhea or constipation.  Other over-the-counter and prescription drugs can treat GERD. They work more slowly than antacids, but give you longer relief. Your pharmacist, doctor, or nurse can tell you how to take these drugs.  - Proton pump inhibitors (PPIs) decrease the amount of acid produced in your stomach  - H2 blockers also lower the amount of acid released in the stomach    Anti-reflux surgery may be an option for people whose symptoms do not go away with lifestyle changes and medicines. Heartburn and other symptoms should improve after surgery. But you may still need to take drugs for your heartburn.  There are also new therapies for reflux that can be performed through an endoscope (a flexible tube passed through the mouth into the stomach)."
Q41,,"Tests for Haemophilia. Hi, I was wondering if blood clotting assays are always positive if one has mild-moderate hemophilia and what the name is of the genetic tests for hemophilia? I have a history of internal spontaneous bleeding into the joints or with eating garlic or onions (in large amounts).I also hemmorhage after injuries (arm injury, head injury hemmorhage, and pregnancy birth hemmorhage--both times).  I've had to have blood transfusions and shots to control the bleeding but it's usually possible to control it. I believe I may have passed this on to my son as he was determined by a doctor to be a heavy bleeder at circumcision. While on the [LOCATION]t, I was asked by a [LOCATION] if anyone had done a work-up on me for hemophilia or any clotting disorder and I said not to my knowledge.  I asked if they were going to do it and she said to follow up with a primary doctor for it.  She also said it could be expensive. This is why I'm asking, if I go to a medical appointment as a private-pay patient, and want to have testing done, which tests would you recommend? [NAME] ",hemophilia,diagnosis,"Most often, hemophilia is diagnosed after a person has an abnormal bleeding episode. It can also be diagnosed by a blood test done to detect the problem, if other family members have the condition."
Q41,,"Tests for Haemophilia. Hi, I was wondering if blood clotting assays are always positive if one has mild-moderate hemophilia and what the name is of the genetic tests for hemophilia? I have a history of internal spontaneous bleeding into the joints or with eating garlic or onions (in large amounts).I also hemmorhage after injuries (arm injury, head injury hemmorhage, and pregnancy birth hemmorhage--both times).  I've had to have blood transfusions and shots to control the bleeding but it's usually possible to control it. I believe I may have passed this on to my son as he was determined by a doctor to be a heavy bleeder at circumcision. While on the [LOCATION]t, I was asked by a [LOCATION] if anyone had done a work-up on me for hemophilia or any clotting disorder and I said not to my knowledge.  I asked if they were going to do it and she said to follow up with a primary doctor for it.  She also said it could be expensive. This is why I'm asking, if I go to a medical appointment as a private-pay patient, and want to have testing done, which tests would you recommend? [NAME] ",hemophilia,diagnosis,"If you or your child appears to have a bleeding problem, your doctor will ask about your personal and family medical histories. This will reveal whether you or your family members, including women and girls, have bleeding problems. However, some people who have hemophilia have no recent family history of the disease.                  You or your child also will likely have a physical exam and blood tests to diagnose hemophilia. Blood tests are used to find out:                  How long it takes for your blood to clot                  Whether your blood has low levels of any clotting factors                  Whether any clotting factors are completely missing from your blood                  The test results will show whether you have hemophilia, what type of hemophilia you have, and how severe it is.                  Hemophilia A and B are classified as mild, moderate, or severe, depending on the amount of clotting factor VIII or IX in the blood.                  The severity of symptoms can overlap between the categories. For example, some people who have mild hemophilia may have bleeding problems almost as often or as severe as some people who have moderate hemophilia.                  Severe hemophilia can cause serious bleeding problems in babies. Thus, children who have severe hemophilia usually are diagnosed during the first year of life. People who have milder forms of hemophilia may not be diagnosed until they're adults.                  The bleeding problems of hemophilia A and hemophilia B are the same. Only special blood tests can tell which type of the disorder you or your child has. Knowing which type is important because the treatments are different.                  Pregnant women who are known hemophilia carriers can have the disorder diagnosed in their unborn babies as early as 12 weeks into their pregnancies.                  Women who are hemophilia carriers also can have ""preimplantation diagnosis"" to have children who don't have hemophilia.                  For this process, women have their eggs removed and fertilized by sperm in a laboratory. The embryos are then tested for hemophilia. Only embryos without the disorder are implanted in the womb."
Q42,,"I am 23yr boy,i have knock knees i want treatment. Please help me.",knock knees,treatment,"Knock knees are not treated in most cases.  If the problem continues after age 7, the child may use a night brace. This brace is attached to a shoe.   Surgery may be considered for knock knees that are severe and continue beyond late childhood."
Q43,Gastroesophageal Reflux Disease,Can GERD BE CURED? I AM SUFFERING FROM THIS DISEASE FOR ALMOST THREE YEARS NOW.I HAVE GONE TO MANY HOSPITALS  BUT STILL CAN'T BE CURED.I HAVE BEEN GIVEN OMEPRAZOLE CAPSULES MANY TIMES.PLEASE HELP ME.,gerd,treatment,"You can make many lifestyle changes to help treat your symptoms.  Other tips include:  - If you are overweight or obese, in many cases, losing weight can help.  - Avoid drugs such as aspirin, ibuprofen (Advil, Motrin), or naproxen (Aleve, Naprosyn). Take acetaminophen (Tylenol) to relieve pain.  - Take all of your medicines with plenty of water. When your doctor gives you a new medicine, ask whether it will make your heartburn worse.    You may use over-the-counter antacids after meals and at bedtime, although the relief may not last very long. Common side effects of antacids include diarrhea or constipation.  Other over-the-counter and prescription drugs can treat GERD. They work more slowly than antacids, but give you longer relief. Your pharmacist, doctor, or nurse can tell you how to take these drugs.  - Proton pump inhibitors (PPIs) decrease the amount of acid produced in your stomach  - H2 blockers also lower the amount of acid released in the stomach    Anti-reflux surgery may be an option for people whose symptoms do not go away with lifestyle changes and medicines. Heartburn and other symptoms should improve after surgery. But you may still need to take drugs for your heartburn.  There are also new therapies for reflux that can be performed through an endoscope (a flexible tube passed through the mouth into the stomach)."
Q44,,"diagnosis of OI/ resources. I was writing to inquire about more information regarding the diagnosis of OI.  We have family members who are in the process of waiting for genetic testing to come back but are under allegations of child abuse.  Is there any information and / or resources that may be helpful to us? Any help is appreciated. Thank you,[NAME] ",oi,diagnosis,"OI is most often suspected in children whose bones break with very little force. A physical exam may show that the whites of their eyes have a blue tint.  A definitive diagnosis may be made using a skin punch biopsy. Family members may be given a DNA blood test.  If there is a family history of OI, chorionic villus sampling  may be done during pregnancy to determine if the baby has the condition. However, because so many different mutations can cause OI, some forms cannot be diagnosed with a genetic test.  The severe form of type II OI can be seen on ultrasound when the fetus is as young as 16 weeks."
Q45,,atypical pnuemonia.  what is the possibility of atypical pneumonia occurring again less than a month after treatment? ,atypical pneumonia,prognosis,"Most patients with pneumonia due to mycoplasma or chlamydophila get better with the right antibiotics. Legionella pneumonia can be severe. It can lead to problems, especially in patients with kidney failure, diabetes, COPD, or a weak immune system. It can also lead to death."
Q46,,Can u please send stuff on fibromyalgia as well ,fibromyalgia,information,"Fibromyalgia is a common syndrome in which a person has long-term pain, spread throughout the body. The pain is most often linked to fatigue, sleep problems, headaches, depression, and anxiety.  People with fibromalgia may also have tenderness in the joints, muscles, tendons, and other soft tissues."
Q46,,Can u please send stuff on fibromyalgia as well ,fibromyalgia,information,"Summary       Fibromyalgia is a disorder that causes muscle pain and fatigue. People with fibromyalgia have ""tender points"" on the body. Tender points are specific places on the neck, shoulders, back, hips, arms, and legs. These points hurt when pressure is put on them.    People with fibromyalgia may also have other symptoms, such as       - Trouble sleeping    - Morning stiffness    - Headaches    - Painful menstrual periods    - Tingling or numbness in hands and feet    - Problems with thinking and memory (sometimes called ""fibro fog"")       No one knows what causes fibromyalgia. Anyone can get it, but it is most common in middle-aged women. People with rheumatoid arthritis and other autoimmune diseases are particularly likely to develop fibromyalgia. There is no cure for fibromyalgia, but medicine can help you manage your symptoms. Getting enough sleep, exercising, and eating well may also help.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
Q47,genital warts on penis,i have taken two treatment of this but still i have small warts please tell me which is the best madcine or cream,warts,treatment,"Your health care provider can treat a wart if you do not like how it looks or if it is painful.  Do NOT attempt to remove a wart yourself by burning, cutting, tearing, picking, or by any other method.  MEDICINES  Over-the-counter medicines are available to remove warts.   Do NOT use over-the-counter wart medicines on your face or genitals. Warts in these areas need to be treated by a health care provider.  To use wart-removal medicine:  - File the wart with a nail file or emery board when your skin is damp (for example, after a shower or bath). This helps remove dead tissue. Do not use the same emery board on your nails.  - Put the medicine on the wart every day for several weeks or months. Follow the instructions on the label.  - Cover the wart with a bandage to prevent it from spreading.     OTHER TREATMENTS  Special foot cushions can help ease the pain from plantar warts. You can buy these at drugstores without a prescription. Use socks. Wear shoes with plenty of room. Avoid high heels.  Your health care provider may need to trim away thick skin or calluses that form over warts on your foot or around nails.   Your provider may recommend the following treatments if your warts do not go away:  - Stronger (prescription) medicines  - A blistering solution   - Freezing the wart (cryotherapy) to remove it  - Burning the wart (electrocautery) to remove it  - Laser treatment for difficult to remove warts  - Immunotherapy, which gives you a shot of a substance that causes an allergic reaction and helps the wart go away  - Skin medicine called imiquimod    Genital warts are treated in a different way than most other warts.  A medicine called veregen may be used on genital warts, as well as on other warts."
Q48,X-linked congenital stationary night blindness,i m suffering from similar or same decease.my mothers father suffered from same & my brother also.we have problem in low light infact cant view in damp conditions during day also have myopia but still not normal myopia cant see little object with clarity.life is looking like imprisonment.is there any chance for our recovery from this x linked decease.will we be able to see like normal ones.plz help. my age 38 y brother 44.address [LOCATION],x-linked congenital stationary night blindness,treatment,"These resources address the diagnosis or management of X-linked congenital stationary night blindness:  - American Optometric Association: Infant Vision  - Gene Review: Gene Review: X-Linked Congenital Stationary Night Blindness  - Genetic Testing Registry: Congenital stationary night blindness  - Genetic Testing Registry: Congenital stationary night blindness, type 1A  - Genetic Testing Registry: Congenital stationary night blindness, type 2A  - MedlinePlus Encyclopedia: Electroretinography  - MedlinePlus Encyclopedia: Eye movements - Uncontrollable  - MedlinePlus Encyclopedia: Nearsightedness  - MedlinePlus Encyclopedia: Strabismus  - MedlinePlus Encyclopedia: Vision - Night Blindness   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
Q49,,How bad can endometriosis get?,endometriosis,prognosis,"Hormone therapy and laparoscopy cannot cure endometriosis. However, in some women, these treatments may help relieve symptoms for years.  Removal of the uterus, fallopian tubes, and both ovaries (a hysterectomy) gives you the best chance for a cure."
Q50,Gastroparesis,"I am a current Gastroparesis fighter with a GJ feeding tube. I am also one of the admins for a GP support group and an advocacy group. I have become a volunteer advocater. I would appreciate any info you can share about Gastroparesis, Feeding tubes, and even TPN. Thanks",gastroparesis,information,Gastroparesis is a condition that reduces the ability of the stomach to empty its contents. It does not involve a blockage (obstruction).
Q50,Gastroparesis,"I am a current Gastroparesis fighter with a GJ feeding tube. I am also one of the admins for a GP support group and an advocacy group. I have become a volunteer advocater. I would appreciate any info you can share about Gastroparesis, Feeding tubes, and even TPN. Thanks",gastroparesis,information,"Gastroparesis, also called delayed gastric emptying, is a disorder that slows or stops the movement of food from the stomach to the small intestine. Normally, the muscles of the stomach, which are controlled by the vagus nerve, contract to break up food and move it through the gastrointestinal (GI) tract. The GI tract is a series of hollow organs joined in a long, twisting tube from the mouth to the anus. The movement of muscles in the GI tract, along with the release of hormones and enzymes, allows for the digestion of food. Gastroparesis can occur when the vagus nerve is damaged by illness or injury and the stomach muscles stop working normally. Food then moves slowly from the stomach to the small intestine or stops moving altogether."
Q50,Gastroparesis,"I am a current Gastroparesis fighter with a GJ feeding tube. I am also one of the admins for a GP support group and an advocacy group. I have become a volunteer advocater. I would appreciate any info you can share about Gastroparesis, Feeding tubes, and even TPN. Thanks",gastroparesis,information,"The problems of gastroparesis can include                  - severe dehydration due to persistent vomiting  - gastroesophageal reflux disease (GERD), which is GER that occurs more than twice a week for a few weeks; GERD can lead to esophagitis— irritation of the esophagus  - bezoars, which can cause nausea, vomiting, obstruction, or interfere with absorption of some medications in pill form  - difficulty managing blood glucose levels in people with diabetes  - malnutrition due to poor absorption of nutrients or a low calorie intake  - decreased quality of life, including work absences due to severe symptoms"
Q51,diabetes,"It was really helpful after reading about type 1 diabetes but would like some more suggestions from you .my friend is 35 year old and its been 1 year of his diabetes n his sugar level is around 100 or 120 OR SO.. each time he tests his sugar level. is there ANY COMPLICATIONS? HE ALSO GO FOR EXERCISES AND BLOOD TEST EVERY 2 OR 3 MONTHS N TAKES A PROPER DIET LIKE GREEN JUICE,OLIVE OIL AND ALL. WAITING FOR YOUR FEED BACK. THANK YOU.",type 1 diabetes,complication,"After many years, diabetes can lead to serious health problems:  - You could have eye problems, including trouble seeing (especially at night) and sensitivity to light. You could become blind.  - Your feet and skin could develop sores and infections. If you have these sores for too long, your foot or leg may need to be amputated. Infection can also cause pain and itching.  - Diabetes may make it harder to control your blood pressure and cholesterol. This can lead to heart attack, stroke, and other problems. It can become harder for blood to flow to the legs and feet.  - Nerves in the body can become damaged, causing pain, itching, tingling, and numbness.  - Because of nerve damage, you could have problems digesting the food you eat. You could feel weakness or have trouble going to the bathroom. Nerve damage can also make it harder for men to have an erection.  - High blood sugar and other problems can lead to kidney damage. The kidneys may not work as well as they used to. They may even stop working, so that you would need dialysis or a kidney transplant."
Q52,,I just read an article submitted by you that stated your research shows that you've identified the mechanism that causes burning mouth syndrome. Also because of these findings you can find a treatment. I've had this for 15 yrs and am just holding on. When will a good treatment be available??  I belong to a group of over 500 bmsers. We're suffering terribly and were from all over the world. What would the treatment be?,burning mouth syndrome,treatment,"If the underlying cause of burning mouth syndrome is determined, treatment is aimed at the triggering factor(s). If no cause can be found, treatment can be challenging. The following are potential therapies for burning mouth syndrome; we strongly recommend that you work with your health care provider in determining which therapy is right for you.   A lozenge-type form of the anticonvulsant medication clonazepam (Klonopin) Oral thrush medications Medications that block nerve pan Certain antidepressants B vitamins Cognitive behavioral therapy Special oral rinses or mouth washes Saliva replacement products  Capsaicin In addition to these medications, the following measures may be helpful in reducing symptoms of burning mouth syndrome: Sip water frequently Suck on ice chips Chew sugarless gum Avoid irritating substances like tobacco, hot or spicy foods, alcoholic beverages, mouthwashes that contain alcohol, and products high in acid, like citrus fruits and juices, as well as cinnamon or mint."
Q53,Hypotension,I'm looking for books about hypotension/low blood pressure. Can you suggest any that I might be able to purchase?,hypotension,information,"Low blood pressure occurs when blood pressure is much lower than normal. This means the heart, brain, and other parts of the body do not get enough blood. Normal blood pressure is usually between 90/60 mmHg and 120/80 mmHg.  The medical name for low blood pressure is hypotension."
Q53,Hypotension,I'm looking for books about hypotension/low blood pressure. Can you suggest any that I might be able to purchase?,hypotension,information,"Summary       You've probably heard that high blood pressure is a problem. Sometimes blood pressure that is too low can also cause problems.    Blood pressure is the force of your blood pushing against the walls of your arteries. Each time your heart beats, it pumps out blood into the arteries. Your blood pressure is highest when your heart beats, pumping the blood. This is called systolic pressure. When your heart is at rest, between beats, your blood pressure falls. This is the diastolic pressure. Your blood pressure reading uses these two numbers. Usually they're written one above or before the other, such as 120/80. If your blood pressure reading is 90/60 or lower, you have low blood pressure.     Some people have low blood pressure all the time. They have no symptoms and their low readings are normal for them. In other people, blood pressure drops below normal because of a medical condition or certain medicines. Some people may have symptoms of low blood pressure when standing up too quickly. Low blood pressure is a problem only if it causes dizziness, fainting or in extreme cases, shock.     NIH: National Heart, Lung, and Blood Institute"
